127.0.0.1 - - [02/Jan/2023:06:24:53 +0900] "GET / HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:13 +0900] "GET /member/assets/vendors/owl-carousel-2/owl.carousel.min.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:13 +0900] "GET /member/assets/vendors/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:13 +0900] "GET /member/assets/css/style.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:13 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:22 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:54 +0900] "GET /WriteMemberCtrl.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:54 +0900] "GET /member/writeMember.jsp HTTP/1.1" 200 4926
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:54 +0900] "GET /member/assets/vendors/css/vendor.bundle.base.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:54 +0900] "GET /member/assets/vendors/mdi/materialdesignicons.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:54 +0900] "GET /member/assets/vendors/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:54 +0900] "GET /member/assets/vendors/owl-carousel-2/owl.carousel.min.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:54 +0900] "GET /member/assets/vendors/jvectormap/jquery-jvectormap.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:54 +0900] "GET /member/assets/vendors/owl-carousel-2/owl.theme.default.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:54 +0900] "GET /member/assets/css/style.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:39:54 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:14 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:15 +0900] "GET /GetAdminCtrl.do HTTP/1.1" 200 8381
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:15 +0900] "GET /assets/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:15 +0900] "GET /assets/images/logo-mini.svg HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:15 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:15 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:15 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:50 +0900] "GET /GetAdminCtrl.do HTTP/1.1" 200 8383
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:50 +0900] "GET /assets/images/logo-mini.svg HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:50 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:50 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:50 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:51 +0900] "GET /GetMapCtrl.do HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:51 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:51 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:44:51 +0900] "GET /favicon.ico HTTP/1.1" 200 1902
